"";"X1";"term"
"the";93436;"the"
"and";55371;"and"
"that";24484;"that"
"for";18473;"for"
"you";16406;"you"
"with";14584;"with"
"was";14197;"was"
"this";13005;"this"
"have";11203;"have"
"but";10412;"but"
"are";9868;"are"
"not";8723;"not"
"they";7825;"they"
"from";7477;"from"
"all";7239;"all"
"one";6334;"one"
"can";6063;"can"
"what";5854;"what"
"will";5831;"will"
"about";5820;"about"
"out";5558;"out"
"his";5525;"his"
"there";5497;"there"
"had";5485;"had"
"her";5347;"her"
"when";5266;"when"
"just";5142;"just"
"like";4976;"like"
"your";4968;"your"
"she";4915;"she"
"has";4712;"has"
"more";4645;"more"
"some";4543;"some"
"their";4540;"their"
"time";4511;"time"
"who";4445;"who"
"our";4335;"our"
"would";4090;"would"
"them";4053;"them"
"been";4048;"been"
"were";3889;"were"
"which";3671;"which"
"get";3627;"get"
"how";3328;"how"
"people";3158;"people"
"then";3146;"then"
"into";3120;"into"
"know";3018;"know"
"now";2989;"now"
"because";2975;"because"
"also";2905;"also"
"don";2841;"don"
"other";2783;"other"
"new";2757;"new"
"only";2663;"only"
"make";2638;"make"
"day";2622;"day"
"over";2615;"over"
"really";2548;"really"
"see";2539;"see"
"back";2526;"back"
"than";2516;"than"
"think";2515;"think"
"good";2508;"good"
"even";2507;"even"
"here";2493;"here"
"much";2481;"much"
"first";2477;"first"
"these";2454;"these"
"him";2448;"him"
"very";2416;"very"
"way";2383;"way"
"well";2372;"well"
"little";2359;"little"
"love";2337;"love"
"after";2304;"after"
"could";2252;"could"
"two";2077;"two"
"life";2075;"life"
"many";2051;"many"
"being";2011;"being"
"most";2010;"most"
"any";2006;"any"
"things";2003;"things"
"did";1990;"did"
"going";1980;"going"
"where";1948;"where"
"those";1932;"those"
"too";1900;"too"
"before";1894;"before"
"made";1870;"made"
"said";1863;"said"
"work";1850;"work"
"still";1818;"still"
"through";1802;"through"
"last";1801;"last"
"right";1783;"right"
"want";1779;"want"
"something";1776;"something"
"year";1729;"year"
"down";1724;"down"
"may";1698;"may"
"while";1694;"while"
"take";1681;"take"
"say";1635;"say"
"its";1630;"its"
"few";1627;"few"
"around";1620;"around"
"off";1620;"off"
"years";1604;"years"
"got";1593;"got"
"never";1592;"never"
"great";1588;"great"
"need";1503;"need"
"world";1474;"world"
"always";1414;"always"
"every";1402;"every"
