"";"X";"X1";"term"
"1";"the";93436;"the"
"2";"and";55371;"and"
"3";"that";24484;"that"
"4";"for";18473;"for"
"5";"you";16406;"you"
"6";"with";14584;"with"
"7";"was";14197;"was"
"8";"this";13005;"this"
"9";"have";11203;"have"
"10";"but";10412;"but"
"11";"are";9868;"are"
"12";"not";8723;"not"
"13";"they";7825;"they"
"14";"from";7477;"from"
"15";"all";7239;"all"
"16";"one";6334;"one"
"17";"can";6063;"can"
"18";"what";5854;"what"
"19";"will";5831;"will"
"20";"about";5820;"about"
"21";"out";5558;"out"
"22";"his";5525;"his"
"23";"there";5497;"there"
"24";"had";5485;"had"
"25";"her";5347;"her"
"26";"when";5266;"when"
"27";"just";5142;"just"
"28";"like";4976;"like"
"29";"your";4968;"your"
"30";"she";4915;"she"
"31";"has";4712;"has"
"32";"more";4645;"more"
"33";"some";4543;"some"
"34";"their";4540;"their"
"35";"time";4511;"time"
"36";"who";4445;"who"
"37";"our";4335;"our"
"38";"would";4090;"would"
"39";"them";4053;"them"
"40";"been";4048;"been"
"41";"were";3889;"were"
"42";"which";3671;"which"
"43";"get";3627;"get"
"44";"how";3328;"how"
"45";"people";3158;"people"
"46";"then";3146;"then"
"47";"into";3120;"into"
"48";"know";3018;"know"
"49";"now";2989;"now"
"50";"because";2975;"because"
"51";"also";2905;"also"
"52";"don";2841;"don"
"53";"other";2783;"other"
"54";"new";2757;"new"
"55";"only";2663;"only"
"56";"make";2638;"make"
"57";"day";2622;"day"
"58";"over";2615;"over"
"59";"really";2548;"really"
"60";"see";2539;"see"
"61";"back";2526;"back"
"62";"than";2516;"than"
"63";"think";2515;"think"
"64";"good";2508;"good"
"65";"even";2507;"even"
"66";"here";2493;"here"
"67";"much";2481;"much"
"68";"first";2477;"first"
"69";"these";2454;"these"
"70";"him";2448;"him"
"71";"very";2416;"very"
"72";"way";2383;"way"
"73";"well";2372;"well"
"74";"little";2359;"little"
"75";"love";2337;"love"
"76";"after";2304;"after"
"77";"could";2252;"could"
"78";"two";2077;"two"
"79";"life";2075;"life"
"80";"many";2051;"many"
"81";"being";2011;"being"
"82";"most";2010;"most"
"83";"any";2006;"any"
"84";"things";2003;"things"
"85";"did";1990;"did"
"86";"going";1980;"going"
"87";"where";1948;"where"
"88";"those";1932;"those"
"89";"too";1900;"too"
"90";"before";1894;"before"
"91";"made";1870;"made"
"92";"said";1863;"said"
"93";"work";1850;"work"
"94";"still";1818;"still"
"95";"through";1802;"through"
"96";"last";1801;"last"
"97";"right";1783;"right"
"98";"want";1779;"want"
"99";"something";1776;"something"
"100";"year";1729;"year"
"101";"down";1724;"down"
"102";"may";1698;"may"
"103";"while";1694;"while"
"104";"take";1681;"take"
"105";"say";1635;"say"
"106";"its";1630;"its"
"107";"few";1627;"few"
"108";"around";1620;"around"
"109";"off";1620;"off"
"110";"years";1604;"years"
"111";"got";1593;"got"
"112";"never";1592;"never"
"113";"great";1588;"great"
"114";"need";1503;"need"
"115";"world";1474;"world"
"116";"always";1414;"always"
"117";"every";1402;"every"
"118";"week";1396;"week"
"119";"should";1393;"should"
"120";"book";1391;"book"
"121";"home";1387;"home"
"122";"own";1380;"own"
"123";"why";1351;"why"
"124";"another";1349;"another"
"125";"didn";1348;"didn"
"126";"again";1338;"again"
"127";"find";1315;"find"
"128";"come";1308;"come"
"129";"look";1301;"look"
"130";"long";1296;"long"
"131";"god";1283;"god"
"132";"since";1270;"since"
"133";"each";1262;"each"
"134";"same";1259;"same"
"135";"today";1256;"today"
"136";"let";1255;"let"
"137";"next";1230;"next"
"138";"thing";1223;"thing"
"139";"place";1190;"place"
"140";"feel";1189;"feel"
"141";"such";1181;"such"
